,Numb #,KEYWORD,TERM,CATEGORY,MEANING,EXAMPLES IN SENTENCES,NOTES
,402,CHUG,chug|chugged|chugging,TEEN,drink fast,"Chug it all, bro.",
,403,CHUNDER,chunder|chundered|chundering,GENERAL NZ,vomit,He chundered everywhere.,
,404,CHUNK,chunk,GENERAL NZ,piece,Grab a chunk of bread.,
,405,CHUNKY,chunky,GENERAL NZ,thick,That soup is chunky.,
,406,CHUR,chur,GENERAL NZ,thanks,"Chur for that, bro.",
,407,CHUR BRO,chur bro,GENERAL NZ,thanks friend,"Chur bro, appreciate it.",
,408,CHURCH,church,TEEN,serious,"That’s church, bro.",??
,409,CHURN,churn|churned|churning,GENERAL NZ,mix,Churn it up.,
,410,CIDER,cider,GENERAL NZ,alcoholic drink,Grab a cider if you dont want beer.,
,411,CIVVIES,civvies,GENERAL NZ,civilian clothes. not a uniform,Change into your civvies.,
,412,CLANGER,clanger,GENERAL NZ,mistake,He dropped a real clanger.,
,413,CLAP,clap,TEEN,STD,He caught the clap.,
,414,CLAPPED,clapped,TEEN,ugly,That car is clapped.,
,415,CLAPBACK,clapback,TEEN,quick comeback,That was a clever clapback.,
,416,CLASH,clash|clashed|clashing,GENERAL NZ,fight,The 2 sides in the class clashed and broke a desk.,
,417,CLASSIC,classic,GENERAL NZ,typical,That’s classic behaviour.,
,418,CLASSY,classy,GENERAL NZ,stylish,She’s looking classy.,
,419,CLAUSE,clause,TEEN,condition,"What’s the clause, bro.",??
,420,CLAW,claw|clawed|clawing,TEEN,grab,He clawed the ball.,
,421,CLEAN,clean|cleaned|cleaning,TEEN,good,That move was clean.,
,422,CLEAN AS,clean as,TEEN,very good,That shot was clean as.,
,423,CLEAR,clear,GENERAL NZ,obvious,IThe reason you lost the game is clear as day ,
,424,CLEAR AS,clear as,GENERAL NZ,very obvious,That’s clear as.,
,426,CLICK,click|clicked|clicking,TEEN,understand,It finally clicked when the teacher explained it.,
,427,CLIFF,cliff,TEEN,abrupt end,That ending was a cliff.,
,428,CLINGY,clingy,TEEN,needy,He’s being clingy.,
,429,CLINK,clink,GENERAL NZ,cheers,Clink your glasses.,
,430,CLIP,clip|clipped|clipping,TEEN,hit,He got clipped hard.,
,431,CLOBBER,clobber,GENERAL NZ,clothes,"Nice clobber, mate.",
,432,CLOCK,clock|clocked|clocking,TEEN,notice,"I clocked that, bro.",
,433,CLOSE,close,TEEN,almost,"That was close, bro.",
,434,CLOSE AS,close as,TEEN,very close,We were close as.,
,435,CLOSET,closet,TEEN,hide identity. usually hiding you are gay.,He’s still in the closet.,
,436,CLOUD,cloud,TEEN,online storage,Upload it to the cloud.,
,437,CLOUDY,cloudy,GENERAL NZ,unclear,The rules are cloudy.,
,438,CLOWN,clown,TEEN,fool,Don’t be a clown.,
,439,CLOWNING,clowning,TEEN,acting silly,He’s clowning around again.,
,440,CLUB,club,GENERAL NZ,nightclub,We went to the club last night for some fun.,
,442,CLUBBING,clubbing,GENERAL NZ,going out,We’re clubbing tonight.,
,443,CLUCKY,clucky,GENERAL NZ,wanting a baby,She’s feeling clucky as she has been married for 2 years.,
,444,CLUELESS,clueless,GENERAL NZ,no idea,He’s clueless and doesnt know where to start.,
,445,CLUTCH,clutch,TEEN,perform under pressure,That play was clutch.,???
,446,CLUTCHED,clutched,TEEN,performed well,He clutched the win.,???
,447,CLUTCHING,clutching,TEEN,trying hard against the odds,He’s clutching at straws if he thinks that is enough to win.,
,448,COACH,coach,GENERAL NZ,trainer,Talk to the coach.,
,450,COAST,"coast, -ed,-ing",TEEN,do minimal effort,He coasted through class.,
,453,COBBER,cobber,GENERAL NZ,friend,He’s my old cobber.,
,454,COCKY,cocky,GENERAL NZ,overconfident,He’s getting cocky.,
,455,COCO,coco,TEEN,coconut drink,Grab a coco.,
,456,COD,cod|codded|codding,TEEN,joke,I’m just codding you.,
,457,COIN,coin|coined|coining,GENERAL NZ,money,Got any coin?,
,458,COLD,cold,TEEN,harsh,"That was cold, bro.",
,459,COLD AS,cold as,TEEN,very harsh,That comment was cold as.,
,460,COLLECT,collect|collected|collecting,TEEN,pick up,Collect me at 5.,
,461,COLOUR,"colour, colourful",GENERAL NZ,personality,He’s a real colour. ???  He is a couourful character and everyone likes him.,???
,463,COLOURING,colouring,GENERAL NZ,adding personality,His personality is colouring the story.,
,464,COMBO,combo,TEEN,combination,That’s a sick combo..  Fast Food places offer many different combos ,
,465,COME ON,come on,TEEN,challenge,"Come on, bro.  Show me what youve got!",
,466,COMEBACK,comeback,TEEN,return / smart reply,That was a cool comeback that made us think.,
,467,COMFY,comfy,GENERAL NZ,comfortable,This couch is comfy.,
,468,COMMUTE,commute,GENERAL NZ,travel to and from work or school,"I commute 5km to school, daily.",
,469,COMP,comp,TEEN,competition,We’ve got a comp tomorrow.,
,470,COMPETE,compete -ing,TEEN,take part it try to win,We’ll compete next week.,
,472,COMPY,compy,TEEN,competitive,She’s compy as.,
,473,CONK,conk,GENERAL NZ,"hit, usually on a head",He conked his head. and got blood in his hair.,
,474,CONKED,conked,GENERAL NZ,could not continue or unconscious ,Afeter the race he was so exhausted he conked out.,
,476,CONVO,convo,TEEN,conversation,We had a convo about the school project.,
,477,COOK,cook -ed,TEEN,"mess up,  ruin",He cooked the plan.,
,479,COOKING,cooking,TEEN,doing well,He’s cooking today and is getting everything right.,
,480,COOL,cool,GENERAL NZ,good,"That’s cool, bro.",
,481,COOL AS,cool as,GENERAL NZ,very good,That was cool as.,
,482,COOLIO,coolio,TEEN,cool,"Coolio, bro.",
,483,COOLING,cooling,TEEN,relaxing,We’re cooling now.,
,484,COOP,flown the coop,GENERAL NZ,to leave the usual place,He has flown the coop. and left town.,
,491,CORNY,corny,GENERAL NZ,cheesy,That joke was corny.,
,492,COS,cos,TEEN,because,I’m late cos the bus broke.,
,493,COUCH,couċh,GENERAL NZ,sofa,Sit on the couch.,
,494,COUGH UP,cough up,GENERAL NZ,pay,Cough up the cash. now!,
,495,COUNT,count,TEEN,matter,That doesn’t count.. You need to think of a better reason.,
,497,COUP,coup,TEEN,win,That was a  great coup.,
,500,COURT,court,TEEN,man seeking a g/f,"He’s courting her but she is not interested, yet.",
,501,COVER,cover -ed -ing,TEEN,protect,I’ll cover you while you are out.,
,504,CRACK,crack,GENERAL NZ,attempt,Give it a crack you have nothing to lose.,
,505,CRACKED,cracked,GENERAL NZ,attempted and solved ,He cracked at it at first try,
,506,CRACKING,cracking,GENERAL NZ,excellent,That was a cracking dinner.,
,507,CRACK UP,"crack,(-ed, -ing) up",GENERAL NZ,laugh,We cracked up at his jokes.,
,510,CRANKY,cranky,GENERAL NZ,irritable,He’s cranky today. If you talk to him he will get angry.,
,514,CRATE,crate,GENERAL NZ,"box, usually containing many items ",Grab a crate of beer on your way home.,
,515,CRAZY,crazy,GENERAL NZ,wild,That was a crazy afternoon surfing great waves.,
,516,CRAZY AS,crazy as,GENERAL NZ,very wild,That party was crazy as.,
,517,CREW,crew,TEEN,friend group,He’s part of the crew.,
,518,CRIB,crib,GENERAL NZ,house   or bach,Come to my crib.,
,519,CRINGE,cringe,TEEN,embarrassing,That was a cringe.,
,520,CRINGEY,cringey,TEEN,embarrassing,That joke was cringey.,
,522,CRISPY,crispy,TEEN,sharp,That fade is crispy.,
,523,CRITTER,critter,GENERAL NZ,animal,Saw a critter outside in the bushes.,
,524,CROOK,crook,GENERAL NZ,sick,I’m feeling crook and want to go home.,
,525,CROOKED,crooked,GENERAL NZ,dishonest,That deal was crooked.,
,526,CROOKING,crooking,GENERAL NZ,acting sick,He’s crooking it.,
,526.5,CROSSED FINGERS,crossed fingers,GENERAL NZ,"Hoping for the best, hoping it comes true",have fingers crossed it is fine weather tomorrow,
,528,CROWDED,crowded,GENERAL NZ,very full,The bus was crowded.,
,529,CROWNING,crowning,TEEN,showing off,He’s crowning again.,???
,531,CRUNCH,crunch,TEEN,time pressure,It’s crunch time.You need to decide now.,
,532,CRUSH,crush,TEEN,romantic interest,She’s his crush.,
,533,CRUSHED,crushed,TEEN,defeated,We crushed them easily,
,535,CRUSTY,crusty,GENERAL NZ,grumpy,He’s a bit crusty today.,
,536,CRUTCH,crutch,GENERAL NZ,support,Use it as a crutch to help your idea.,
,537,CRY,cry   - crying,TEEN,complain,"Stop crying about it.  He is always crying, never satisfied.",
,538,CRYSTAL CLEAR,crystal clear,GENERAL NZ,very clear,I understand. It’s crystal clear now.,
,539,CUZ,cuz,GENERAL NZ, (short for cousin) but now any friend,"What’s up, cuz.",
,540,CUZZIE,cuzzie,GENERAL NZ,cousin or friend,He’s my cuzzie.,
,542,CYCLE,cycle  -ing,TEEN,repeat behaviour,He’s cycling the same mistake.,
,543,CYCO,"cyco, psycho",TEEN,crazy,"That was cyco, bro.",
,544,DAB,"dab, -ed, -ing",TEEN,dance move,He did a dab.    They were dabbing in class.,They were dabbing in class.
,545,DAG,dag,GENERAL NZ,funny person,He’s a real dag.,
,546,DAGGY,daggy,GENERAL NZ,uncool,That outfit is daggy.,
,547,DAIRY,dairy,GENERAL NZ,corner shop,Go to the dairy to buy bread and milk.,
,548,DAMN,"damn,  dammit",GENERAL NZ,"exclamation of surprise, frustration etc","Damn, that was close.  ",
,,DAMN,damn,GENERAL NZ,adjective intensified,"That was damn dangerous.   damn good party,  you are damn stupid",
,,DAMN,damn,GENERAL NZ,Mild curse,"Damn you, stop doing that!",
,549,DANCE OFF,dance off,TEEN,dance battle,They had a dance off. to see how was the best dancer.,
,550,DANDY,dandy,GENERAL NZ,fine,"That’s dandy, mate.  That is fine and dany",
,551,DANK,dank,TEEN,cool,That meme is dank.,
,552,DAPPER,dapper,GENERAL NZ,stylish,He’s looking dapper.in that suit.,
,553,DARK,dark,TEEN,edgy,That’s dark humour.  ,
,554,DART,"dart, -ing",GENERAL NZ,cigarette,"He’s having a dart.,   He is outside darting.",
,555,DASH,dash|dashed|dashing,TEEN,run quickly,He dashed off.    He was dashing to class.,
,556,DAWDLE,dawdle|dawdled|dawdling,GENERAL NZ,move slowly,"Stop dawdling.,   He dawdled behind.",
,557,DAY ONE,day one,TEEN,long-time friend,He’s my day one.,???
,558,DEAD,dead,TEEN,very funny,I was dead after those jokes.,
,559,DEAD AS,dead as,TEEN,very tired,I’m dead as today.,
,560,DEADSET,deadset,GENERAL NZ,serious,He’s deadset on it. It must happen.,
,561,DEAL,deal|dealing,TEEN,problem,What’s your deal.       He’s dealing with it.,
,562,DEAR,dear,GENERAL NZ,expensive,That’s a bit dear can you make it cheaper?,
,563,DEBRIEF,debrief,GENERAL NZ,review,Let’s debrief after.,
,564,DECK,deck|decked|decking,GENERAL NZ,"hit, knock down",He decked him with a single blow.     They were decking each other.,
,565,DEEP,deep,TEEN,"emotional,  very thoughtful","That’s deep, bro.",
,566,DEEP AS,deep as,TEEN,very emotional / thoughtful,That korero was deep as.,
,567,DEETS,deets,TEEN,details,Send me the deets before I decide.,
,569,DEJA VU,deja vu,GENERAL NZ,familiar feeling,Got deja vu as I am sure I have seen it before.,
,570,DELISH,delish,GENERAL NZ,delicious,That kai was delish.,
,571,DEMON,demon,TEEN,skilled person,He’s a demon at rugby.,
,572,DENT,"dent, -ed, -ing",TEEN,damage,He dented the car.     He’s denting his reputation.,
,573,DERP,derp,TEEN,stupid mistake,That was a derp moment.,
,574,DESPO,despo,TEEN,desperate,He’s despo for attention.,
,575,DESTROY,"destroy, -ed, -ing",TEEN,defeat,We destroyed them.     We’re destroying them.,
,576,DETOX,detox,TEEN,cleanse,I’m doing a detox.  No more junk food for me.,
,577,DEUCES,deuces,TEEN,goodbye,"Deuces, I’m out of here.",
,578,DEV,dev,TEEN,developer,He’s a game dev and he make good games.,
,579,DEVOUR,"devour, -ing",TEEN,eat fast,We devoured the snacks.     They’re devouring everything.,
,580,DEX,dex,TEEN,skill,That model is a high dex build.,
,581,DIAL,"dial, -ed, -ing",TEEN,call,Dial me later.   He dialed me.,
,582,DIBS,dibs,TEEN,claim,Dibs on the front seat.,
,583,DIESEL,diesel,GENERAL NZ,strong,"That was diesel, bro.",???
,585,DIFF,diff,TEEN,difference," Put it high or low, what’s the diff.",
,586,DIG,"dig,-ing",TEEN,understand or like,I dig that.      Are you digging this song.,
,587,DING,"ding,-ed, -ing",GENERAL NZ,minor damage or dent,Got a ding in the car when a bike hit me.    He dinged the bumper.,
,588,DINGUS,dingus,TEEN,fool,Don’t be a dingus.,
,589,DINKY,dinky,GENERAL NZ,small,"That’s a dinky toy, it is very small",
,590,DIP,"dip|, -ed, -ing",TEEN,leave suddenly,We dipped early.   He’s dipping now as he has got to go.,
,591,DIRTY,dirty,TEEN,unfair,That was a dirty move.,
,592,DIRTY AS,dirty as,TEEN,very unfair,That rugby tackle was dirty as and the ref should have given a penalty.,
,593,DIS,"dis,-ed, -ing",TEEN,insult,Don’t dis me.     That bastard dissed me hard.,
,595,DISGUSTING,disgusting,TEEN,gross,"That’s disgusting, bro throw it away.",
,596,DISSED UP,dissed up,TEEN,dressed well,He’s dissed up today and looks very smart.,
,597,DITCH,"ditch, -ed, -ing",TEEN,abandon,Don’t ditch me like you ditched your other B/F!     He ditched us and went to the movies alone.,
,598,DITSY,ditsy,GENERAL NZ,scatterbrained,She’s a bit ditsy.,
,599,DITTO,ditto,TEEN,"same,   agree","Yeah, ditto, I have also said that.        Ditto  100%  You are right.",
,600,DIVA,diva,TEEN,dramatic person,She’s being a diva..  Ignore her if she is too much.,
,601,DIVE,"dive, -ed, -ing",TEEN,fall dramatically,He took a dive and scraped his knees.,
,602,DIVVY,divvy,GENERAL NZ,divide,Divvy it up.  One third each!,
,603,DOABLE,doable,GENERAL NZ,possible,That’s doable.  We can do that.,
,604,DOCK,"dock, -ed, -ing",TEEN,deduct,They docked my points because I was 5 minutes late.     They’re docking marks. for every spelling mistake.,
,605,DODGE,"dodge, -ed, -ing",TEEN,avoid,He dodged the question and only laughed.       He's always dodging the halfback and scoring trys!,
,606,DODGY,dodgy,GENERAL NZ,suspicious,That deal is dodgy.,
,607,DOG,"dog, -ged,- ding",TEEN,betray,Don’t dog me and tell others.       He dogged his mate and got him into trouble.,
,608,DOGGO,lie doggo,GENERAL NZ,to stay hidden ,Lie goggo at home for a while and they will forget about it. ,
,609,DOH,doh,GENERAL NZ,mistake,"Doh, my bad.",
,611,DOLL,doll,GENERAL NZ,female friend,"Thanks, doll, you are very kind.",
,612,DOLLAR,dollar,GENERAL NZ,money,Got a dollar?,
,613,DOLLOP,dollop,GENERAL NZ,small amount,Add a dollop. of cream on top please.,
,614,DOLT,dolt,GENERAL NZ,fool,Don’t be a dolt.  There ar already too many idiots here!,
,615,DOM,dom,TEEN,dominant,He’s dom in the game.  I would make him MVP of the tournament.,
,616,DONE,done,TEEN,finished,"I’m done with this, you can finish it yourself.",
,617,DONE AND DUSTED,done and dusted,GENERAL NZ,completed,It’s done and dusted and under budget as well!,
,618,DONKEY,donkey,GENERAL NZ,fool,He’s a donkey.,
,619,DONK,donk,TEEN,big engine,"That car’s got a huge donk, a supercharged V8!",
,620,DOODLE,doodle,GENERAL NZ,informal sketch/drawing,He’s doodling again on his notepad instead of paying attention!,
,621,DOOF,"doof, -ed, -ing",TEEN,party,We’re going to a doof.        We doofed all night.,????
,622,DOOMED,doomed,TEEN,in trouble,"We’re doomed, There is no way to fix this.",
,623,DOOMER,doomer,TEEN,pessimist,"He’s a doomer, never optimistic.",
,624,DOOR,door,TEEN,leave,"I’m out the door, bye!",
,625,DOPE,dope,TEEN,cool,"That’s dope, bro.  Very nice!",
,,DOPE,dope,GENERAL NZ,marijuana,He is very slow in class because he smokes dope ,
,626,DOPE AS,dope as,TEEN,very cool,That was dope as.,
,627,DORK,dork,GENERAL NZ,uncool person,"He’s a dork so only has one friend, who is also a dork!",
,629,DORM,dorm,TEEN,dormitory,"Meet at the dorm after class.  No boys are allowed in the girls dorm, but . . . .   : ))",
,630,DOUBLE DOWN,double down,TEEN,commit harder,He doubled down on study and did well in his exams.,
,631,DOUBLE UP,double up,TEEN,share,We doubled up on seats in the crowded bus.,
,633,DOWN,down,TEEN,agree,I’m down for that. Count me in for the movie.,
,634,DOWN BAD,down bad,TEEN,emotionally low,He’s down bad and cried in class.,
,635,DOWNER,downer,GENERAL NZ,depressing thing,The All Black loss  was a real downer.,
,636,DOWNGRADE,downgrade,GENERAL NZ,reduce,They downgraded the company rating after the CEO  stole the profits!,
,637,DOWNLOW,"Downlow,  downlo",GENERAL NZ,secret,Keep it on the downlo I want it to be secret until Xmas.,
,639,DOWN RIGHT,down right,GENERAL NZ,completely,That’s downright rude of her to speak like that.,
,640,DOWNTIME,downtime,GENERAL NZ,rest,I need downtime from my busy jib.     The factory is doing well because the machine downtime is very low.,
,641,DOZE,"doze, -ed, -ing",GENERAL NZ,nap,"He dozed off.in the meeting, just like Donald Trump!   If you get caught dozing in class again you wil be punished.",
,642,DRAB,drab,GENERAL NZ,dull,"That outfit is drab, no bright colours.",
,643,DRAG,"drag, -ged, -ging",TEEN,criticise or bore,He got dragged online when he said he voted for Trump!        That class was a drag and I wanted to nap..                                                                                                                                                                ,
,644,DRAMA,drama,TEEN,trouble,He’s causing drama by making the project too complex.,
,645,DRAMATIC,dramatic,TEEN,overreacting,She was being dramatic in class by pretending to faint when she saw her marks.,
,647,DRAUGHT,draught,GENERAL NZ,beer served from a tap in a pub,Get a jug of draught as I am thirsty!,
,648,DRAW,draw|drawn,GENERAL NZ,tie in a copetiton,The soccer was boring as it finished in a draw.        The game was drawn. so nobody was satisfied!,
,650,DREAMY,dreamy,TEEN,"nice, lovely",That view is dreamy.        She looks dreamy being naturally beautiful and not worried about anything.,
,652,DRESS UP,"dress up|,  dressed up|dressing up",GENERAL NZ,wear nice clothes,We dressed up to go to the formal dance.. No need to dress up for our wedding as it is informal and on a beach.,
,653,DRIBBLE,"dribble,-ed, -ing",GENERAL NZ,talk nonsense,He’s dribbling again about poliitics.,
,654,DRIFT,"drift, -ed,- ing",GENERAL NZ,"lose focus,    Spin car wheels",I drifted off topic so got low marks.      In the afternoon sun I often drift off to sleep!     he was always drifting in his car until the police took it off him!.,
,655,DRILL,"drill, -ed, -ing",GENERAL NZ,"practice,     routine",We drilled the routine until we perfected it.   I am new here so what's the drill.,
,656,DRINK UP,drink up,GENERAL NZ,finish drink,Drimk up people as the pub is about to close.,
,657,DRIP,"drip,   drippy",GENERAL NZ,Stupid person,His brother is smart but he is a drip.    Pay attention as you don't want to look drippy here!,
,659,DRIVE,"drive, -n, -ing",GENERAL NZ,motivation,He’s got enough drive to succeed.   She was driven to attack the bully in class. ,
,660,DROP,"drop, -ped, -ping",TEEN,release,They dropped a new track last night al already it has 10k plays on Spotify.,
,661,DROPOUT,dropout,GENERAL NZ,someone who quit,He’s a dropout from school.     The university dropout rate was 7%.,
,662,DROWN,"drown, -ed, -ing",GENERAL NZ,overwhelm,I’m drowning in work.  The cheering drowned out the music.,
,663,DRUNK,drunk,GENERAL NZ,intoxicated,He’s a drunk.    Never drive a car when drunk.,
,664,DRUNK AS,drunk as,GENERAL NZ,very drunk,He was drunk as.     He was drunk as a skunk!,
,665,DRY,dry,GENERAL NZ,boring,"That class was dry.   Your speeches are too dry and need some humour,",
,667,DUCK,"duck, -ed",GENERAL NZ,avoid,He ducked the punch..     He ducked and dived but the boss finally made him do the task he hated.,
,668,DUD,dud,GENERAL NZ,failure,"That idea was a dud, absolutely useless",
,669,DUDE,dude,GENERAL NZ,guy,He’s a chill dude.,
,671,DUFF,duff,GENERAL NZ,useless,That tool is duff..get me a new one.,
,672,DULL,dull,GENERAL NZ,boring,"That movie was dull.  Our flight to China was mostly dull, only the  takeoff and landing were interestig.",
,673,DUMMY,dummy,TEEN,"fool, silent person or puppet.","Don’t be a dummy, you can do better than that.     My puppet shows have disappeared from their case!  It is s adisaster.",
,674,DUMP,"dump, -ed, -ing",GENERAL NZ,end relationship,She dumped him and now he is depressed.,
,,DUMP,the dump,GENERAL NZ,the place where rubbish is burried;   an unattractive place,"We cleared out the house and took all the rubbish to the dump.   That old house is a dump, its falling down.    The kids had a party in our house while we were away and now it is a dump! ",
,675,DUNNO,dunno,TEEN,don’t know,"I dunno, bro, ask your sister.",
,676,DUST,"dust, -ed, -ing",TEEN,leave,I’m dusting out.,???
,678,DWEEB,dweeb,TEEN,nerd,"He’s a dweeb, no good at social stuff.",
,679,DYNAMITE,dynamite,GENERAL NZ,excellent,That was a dynamite movie. I liked the surprise ending.,
,681,EAGLE,eagle,GENERAL NZ,watch closely,Keep an  eagle-eye out for it as it should happen soon.,
,682,EARFUL,earful,GENERAL NZ,scolding,I got an earful because I skipped out without doing my chores.,
,686,EAT,"eat, -en, -ing",TEEN,dominate,He ate that challenge..  She is not a slow learner as she is eating all the new tasks in her job.,?????
,688,EDGE,"edge, -y",TEEN,cool style,He’s got edge.     That is a very edgy TV programme about problems in schools.,
,690,EGG,egg,GENERAL NZ,fool,Don’t be an egg.,
,691,EGG ON,"egg, -ed, -ing -on",GENERAL NZ,encouraged,They egged him on to do it.,
,694,EGO TRIP,ego trip,TEEN,self-boost,He’s on an ego trip and thinks he is the greatest.,
,695,EJECT,eject,TEEN,kick out,They ejected him from the club for stealing the money.,
,696,ELBOW,elbow,GENERAL NZ,push aside,He elbowed through the crowd to get the best place at the front.,
,699,EMO,emo,TEEN,emotional style,He’s going emo.,???
,700,EMPATH,empath,TEEN,feels deeply,"She’s an empath and seems to be able to calm people,",
,701,EMPTY,empty,TEEN,emotionless,He feels empty now his G?F has left him.,
,703,ENGAGE,"engage, -ed, -ing",TEEN,involve,He engaged with the task so dont talk while he is working.,
,706,ENOUGH,enough,GENERAL NZ,stop,"Enough, bro.  Talk about something else.",
,707,EPIC,epic,GENERAL NZ,amazing,That bungy jump was epic.,
,710,ESSAY,essay,TEEN,long message,He sent an essay about nothing really. Boring.,
,715,EUPHORIA,euphoria,TEEN,intense happiness,The win gave us euphoria.,
,716,EVAC,evac,GENERAL NZ,evacuate,We had to evac the building when the fire alarm went off.,
,717,EVAL,eval,TEEN,evaluation,We’ve got a physics eval  in the lab today.,
,723,EX,ex,GENERAL NZ,former partner,She’s his ex. wife.  ,
,732,EYE ROLL,eye roll,GENERAL NZ,show annoyance,He was being stupid andgot a big eye roll.,
,733,EYES ON,eyes on,GENERAL NZ,pay attention,The shareholdeer kept eyes on the board.during the business slump.,
,734,FAB,fab,GENERAL NZ,fabulous,"That movie was fab, I love Taylor Swift in movies.  ",
,736,FACE,"face, -ed. -ing",TEEN,confront,"Face him, bro. Don't let him speak to you like that. He is facing a tought time with his cancer diagnosis.",
,739,FACEPALM,facepalm,GENERAL NZ,"embarrassed reaction,  moment of realisation",That was a facepalm moment.. ,
,740,FADE,fade,TEEN,haircut that is short on the sides,He’s got a fresh fade. His brothers cool fade cut had characters shaved in it.,
,741,FADED,faded,GENERAL NZ,"worn out, lost colour over time",Those holy jeans are faded..  My red jersey faded to pale pink when I dried it in the sun.,
,744,FAIR,fair,GENERAL NZ,reasonable,"That’s fair, mate we can share it today.",
,745,FAIR ENOUGH,fair enough,GENERAL NZ,reasonable,"Fair enough, I get it.",
,746,FAIR GO,fair go,GENERAL NZ,"reasonable opportunity,  Exclametion to object",Give him a fair go by giving the little fellow a head start.      Fair Go! That is not right!,
,747,FAIRY,fairy,GENERAL NZ,"soft,   politically incorrect term for a gay man.",Don’t be a fairy.   We thought he was a fairy so were not surprised when he married that guy.,
,748,FAKE,"fake, -ed, -ing",TEEN,not genuine,That smile is fake.   He faked being sick.      Don't believe him as he is faking it.,
,751,FAM,fam,TEEN,close friends,"You’re fam, bro.",
,752,FAMOUS,famous,TEEN,well known,He’s TikTok famous.,
,753,FANCY,"fancy, -ed. - ing",GENERAL NZ,"like romantically,  want to do or like",He fancies her. as she is pretty.        Would you fancy fish and chips for dinner?,
,754,FANG,fang,GENERAL NZ,tooth or bite,He took a fang of the pie.,???
,755,FANG IT,fang it,GENERAL NZ,go fast,He fanged it down the road.,???
,756,FANGING,fanging,GENERAL NZ,going fast,He’s fanging it.,
,757,FAR OUT,far out,GENERAL NZ,surprised,"Far out, that’s crazy.",
,758,FARKE,farke,TEEN,soft swear,"Oh farke, I forgot.",
,759,FART,fart,TEEN,annoying person,Don’t be a fart.,
,760,FARTY,farty,TEEN,immature,That joke was farty.,
,761,FASHION,fashion,TEEN,style,She’s into fashion.,
,762,FASHIONABLE,fashionable,TEEN,stylish,That’s fashionable now.,
,763,FAST,fast,TEEN,quick,"That was fast, bro.",
,764,FAST AS,fast as,TEEN,very quick,He ran fast as.,
,765,FAT,fat,TEEN,uncool,"That’s fat, in a bad way.",
,766,FATAL,fatal,TEEN,really bad,That was a fatal mistake.,
,767,FAVE,fave,TEEN,favourite,That’s my fave song.,
,768,FAVOUR,favour,TEEN,help,Do me a favour.,
,769,FEAR,fear,TEEN,be scared,He’s got fear of heights.,
,770,FEARLESS,fearless,TEEN,brave,She’s fearless.,
,771,FEAST,feast,GENERAL NZ,big meal,That was a feast.,
,772,FEED,feed,GENERAL NZ,meal,We had a big feed.,
,773,FEED UP,feed up,GENERAL NZ,give food,We’ll feed up the kids.,
,774,FEEL,feel|felt|feeling,TEEN,emotion,I feel off today.,I’m feeling weird.
,775,FEELS,feels,TEEN,strong emotions,That song gives me feels.,
,776,FEELING IT,feeling it,TEEN,enjoying,"I’m feeling it, bro.",
,777,FEISTY,feisty,TEEN,fiery,She’s feisty today.,
,778,FELLA,fella,GENERAL NZ,guy,He’s a good fella.,
,779,FELT CUTE,felt cute,TEEN,felt confident,"Felt cute, might delete later.",
,780,FENCE,fence,TEEN,sit undecided,He’s on the fence.,
,781,FESS UP,fess up,TEEN,confess,"Fess up, who did it.",
,782,FEST,fest,TEEN,festival,We’re going to a fest.,
,783,FETCH,fetch,TEEN,cool,That’s so fetch.,
,784,FIB,fib|fibbed|fibbing,GENERAL NZ,small lie,He fibbed about it.,He’s fibbing again.
,785,FIDGET,fidget|fidgeted|fidgeting,TEEN,move nervously,He’s fidgeting in class.,
,786,FIERCE,fierce,TEEN,strong or bold,That look is fierce.,
,787,FIGHT,fight|fought|fighting,TEEN,argue or scrap,They fought at lunch.,They’re fighting again.
,788,FIGURE OUT,figure out,TEEN,solve,We’ll figure it out.,
,789,FILTHY,filthy,GENERAL NZ,very angry,He was filthy about it.,
,790,FINESSE,finesse,TEEN,smooth skill,He’s got finesse.,
,791,FINISH,finish|finished|finishing,TEEN,complete,I finished the level.,I’m finishing now.
,792,FIRE,fire,TEEN,awesome,That track is fire.,
,793,FIRE AS,fire as,TEEN,very awesome,That concert was fire as.,
,794,FIRE UP,fire up|fired up|firing up,TEEN,get hyped,We’re fired up for the game.,
,795,FIRM,firm,TEEN,strict,The teacher is firm.,
,796,FIRST,first,TEEN,best,That song is first for me.,
,797,FISH,fish,TEEN,awkward person,He’s a bit of a fish.,
,798,FISHY,fishy,GENERAL NZ,suspicious,That sounds fishy.,
,799,FIT,fit,TEEN,attractive,He’s pretty fit.,
,800,FIT AS,fit as,TEEN,very attractive,She’s fit as.,
,801,FITNESS,fitness,TEEN,exercise,He’s into fitness.,
,802,FIX,fix|fixed|fixing,TEEN,sort out,We fixed it.,We’re fixing the problem.
,803,FIZZ,fizz,GENERAL NZ,soft drink,Grab a bottle of fizz.,
,804,FIZZED,fizzed,TEEN,disappointed,I was fizzed about that.,
,805,FIZZING,fizzing,TEEN,excited,I’m fizzing for the game.,
,806,FLAKE,flake|flaked|flaking,TEEN,cancel plans,He flaked on us.,He’s always flaking.
,807,FLAME,flame|flamed|flaming,TEEN,roast online,He got flamed in the comments.,
,808,FLAT,flat,GENERAL NZ,apartment,We’re heading back to the flat.,
,809,FLAT AS,flat as,GENERAL NZ,very boring,That party was flat as.,
,810,FLAT OUT,flat out,GENERAL NZ,very busy,I’m flat out at work.,
